trait,color
ey_1,null
ey_2,null
ey_3,null
ey_4,blue
ey_5,null
ey_6,green
ey_7,blue
ey_8,blue
ey_9,null
ey_10,null
ey_11,blue
ey_12,purple
ey_13,green
ey_14,green
ey_15,blue
ey_16,null
ey_17,null
ey_18,null
ey_19,blue
ey_20,yellow
ey_21,purple
ey_22,null
ey_23,blue
ey_24,blue
ey_25,blue
ey_26,yellow
ey_27,purple
ey_28,green
ey_29,blue
ey_30,null
ey_31,null
ey_32,null
ey_33,null
ey_34,null
ey_35,null
ey_36,null
ey_37,null
ey_38,null
ey_39,blue
ey_40,blue
ey_41,purple
ey_42,blue
ey_43,yellow
hr_1_sub_1,yellow
hr_2_sub_1,blue
hr_3_sub_1,blue
hr_4_sub_1,yellow
hr_5_sub_1,yellow
hr_6_sub_1,yellow
hr_7_sub_1,yellow
hr_8_sub_1,yellow
hr_9_sub_1,purple
hr_10_sub_1,purple
hr_11_sub_1,blue
hr_12_sub_1,blue
hr_13_sub_1,blue
hr_14_sub_1,yellow
hr_15_sub_1,blue
hr_16_sub_1,blue
hr_17_sub_1,purple
hr_18_sub_1,blue
hr_19_sub_1,blue
hr_20_sub_1,yellow
hr_21_sub_1,yellow
hr_22_sub_1,purple
hr_23_sub_1,green
hr_24_sub_1,blue
hr_25_sub_1,blue
hr_26_sub_1,yellow
hr_27_sub_1,blue
hr_28_sub_1,purple
hr_29_sub_1,purple
hr_30_sub_1,purple
hr_31_sub_1,green
hr_32_sub_1,yellow
hr_33_sub_1,blue
hr_34_sub_1,yellow
hr_35_sub_1,null
hr_36_sub_1,null
hr_37_sub_1,null
hr_38_sub_1,null
hr_39_sub_1,null
hr_40_sub_1,blue
hr_41_sub_1,blue
hr_42_sub_1,blue
hr_43_sub_1,blue
hr_44_sub_1,blue
hr_45_sub_1,yellow
hr_1_sub_2,purple
hr_2_sub_2,blue
hr_3_sub_2,yellow
hr_4_sub_2,blue
hr_5_sub_2,purple
hr_6_sub_2,yellow
hr_7_sub_2,yellow
hr_8_sub_2,blue
hr_9_sub_2,green
hr_10_sub_2,yellow
hr_11_sub_2,purple
hr_12_sub_2,purple
hr_13_sub_2,purple
hr_14_sub_2,blue
hr_15_sub_2,yellow
hr_16_sub_2,blue
hr_17_sub_2,yellow
hr_18_sub_2,purple
hr_19_sub_2,green
hr_20_sub_2,blue
hr_21_sub_2,purple
hr_22_sub_2,blue
hr_23_sub_2,green
hr_24_sub_2,yellow
hr_25_sub_2,yellow
hr_26_sub_2,green
hr_27_sub_2,yellow
hr_28_sub_2,yellow
hr_29_sub_2,yellow
hr_30_sub_2,blue
hr_31_sub_2,blue
hr_32_sub_2,green
hr_33_sub_2,purple
hr_34_sub_2,blue
hr_35_sub_2,null
hr_36_sub_2,null
hr_37_sub_2,null
hr_38_sub_2,null
hr_39_sub_2,null
hr_40_sub_2,blue
hr_41_sub_2,blue
hr_42_sub_2,blue
hr_43_sub_2,blue
hr_44_sub_2,blue
hr_45_sub_2,yellow